Comune;ISTAT;1971;1981;1991;2001;2011;2017
Abano Terme;028001;13690;16405;17735;18206;19349;20002
Abbadia Cerreto;098001;270;297;284;276;297;284
Abbadia Lariana;097001;2520;3002;3000;3151;3249;3209
Abbadia San Salvatore;052001;8510;7813;7243;6832;6557;6344
Abbasanta;095001;2050;2353;2640;2815;2828;2724
Abbateggio;068001;490;449;403;420;441;392
Abbiategrasso;015002;26950;27043;27541;27739;30994;32565
Abetone Cutigliano;047023;2860;2714;2585;2404;2248;2084
Abriola;076001;2600;2360;2061;1808;1571;1496
Acate;088001;5810;7000;7640;8000;9574;11182
Accadia;071001;3990;3562;3107;2702;2418;2372
Acceglio;004001;500;355;238;197;174;155
Accettura;077001;3360;2672;2740;2436;1980;1823
Acciano;066001;990;742;538;401;351;318
Accumoli;057001;1240;985;758;724;653;647
Acerenza;076002;3730;3425;3043;3010;2553;2380
Acerno;065001;3110;2930;3185;3013;2872;2768
Acerra;063001;30840;36052;41311;45688;56465;59830
Aci Bonaccorsi;087001;2040;2223;2360;2549;3200;3524
Aci Castello;087002;10430;14020;17927;18272;18122;18674
Aci Catena;087003;9790;20000;20760;27058;28749;29671
Aci Sant'Antonio;087005;5310;7000;12459;15389;17270;18052
Acireale;087004;47120;48493;46199;50190;51456;52574
Acquafondata;060001;450;418;371;316;282;270
Acquaformosa;078001;1520;1485;1460;1295;1161;1123
Acquafredda;017001;1080;1173;1222;1409;1579;1565
Acqualagna;041001;3420;3683;3971;4178;4496;4449
Acquanegra Cremonese;019001;1400;1230;1185;1226;1302;1181
Acquanegra sul Chiese;020001;3430;3116;2959;2936;2996;2935
Acquapendente;056001;6040;5849;5886;5788;5655;5449
Acquappesa;078002;2140;2072;2133;2068;1910;1876
Acquarica del Capo;075001;4320;4363;4779;4734;4898;4745
Acquaro;102001;4070;3293;3293;3046;2448;2397
Acquasanta Terme;044001;4920;4195;3724;3346;3050;2855
Acquasparta;055001;4700;4657;4431;4527;4929;4726
Acquaviva Collecroce;070001;1150;1017;883;800;674;654
Acquaviva delle Fonti;072001;16010;20000;21229;21613;21038;20760
Acquaviva d'Isernia;094001;650;585;531;468;455;425
Acquaviva Picena;044002;2680;2677;3080;3409;3848;3805
Acquaviva Platani;085001;1730;1560;1570;1231;1041;932
Acquedolci;083107;4530;4925;5122;5373;5744;5722
Acqui Terme;006001;21800;21736;20357;19184;20054;19695
Acri;078003;20610;21189;22223;21891;21458;20623
Acuto;060002;1780;1763;1826;1857;1910;1915
Adelfia;072002;10030;10931;14779;16245;17101;17139
Adrano;087006;32120;33220;32717;34490;35549;35894
Adrara San Martino;016001;1550;1544;1689;1908;2161;2263
Adrara San Rocco;016002;690;649;684;804;836;819
Adria;029001;21350;21841;21225;20640;20233;19604
Adro;017002;5580;5809;5846;6421;7114;7140
