Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Agrigento;19084001;2010;Comune;59.175;22,92;762,3;913,827;0;0;143,52;245,223;128,2;1,895;0;1223,772;
Agrigento;19084001;2011;Comune;58.323;0;0;966,3399999999999;124,11;0;216,768;333,995;188,95999999999998;0,17;0;1600,64;
Agrigento;19084001;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Agrigento;19084001;2013;Comune;59.010;1,84;160,84;1291,5200000000002;413,6;0;743;241,61;142,5;1;0;1308,46;
Alessandria della Rocca;19084002;2010;Comune;3.109;0,78;6,72;46,28;291,64;1,86;6,38;7,31;8,29;0,06;0;43,25;
Alessandria della Rocca;19084002;2011;Comune;3.118;0;0;11,52;331,1;0;6,93;9,14;11,405;0;0;87,2921;
Alessandria della Rocca;19084002;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Alessandria della Rocca;19084002;2013;Comune;3.051;0;0;15,64;238,93;6,57;0;0;0,24;0;3,12;0;
Aragona;19084003;2010;Comune;9.626;4,42;60,46;61,827000000000005;0;0,05;6,477;32,105;17,09;0,339;0;66,485;
Aragona;19084003;2011;Comune;9.493;0;0;112,65950000000001;0;0;3,9046;41,851;17;0;0;59,035;
Aragona;19084003;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Aragona;19084003;2013;Comune;9.598;0,12;19,56;65,525;80,2;0;0;0;0,49;0;0;0;
Bivona;19084004;2010;Comune;3.952;0,42;0;93,61;360,84;10;20,04;15,15;1,27;0;2;80,22;
Bivona;19084004;2011;Comune;3.882;0;0;0;423,3;0;22,89;30,15;9,41;0;0;178,51;
Bivona;19084004;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Bivona;19084004;2013;Comune;3.869;2,42;0;54,199999999999996;248,15;14,21;14;35,04;0;0;35,54;136,46;
Burgio;19084005;2010;Comune;2.801;0;0;42,22;343,66999999999996;0;5,19;6,84;4,67;0;0;40,51;
Burgio;19084005;2011;Comune;2.780;0;0;46,0507;321,5186;0;5,6609;7,4606;5,0937;0;0;44,1855;
Burgio;19084005;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Burgio;19084005;2013;Comune;2.740;3,96;0;141,74;100,47;43,18;17,45;18,51;0;0;5,394;0;
Calamonaci;19084006;2010;Comune;1.387;3,7;0;18,52;159,13;11,86;7,620000000000001;5,69;0;0,56;5,9;24,82;
Calamonaci;19084006;2011;Comune;1.375;3,9267;0;19,655;168,8821;12,5868;8,087;6,0386999999999995;0;0,5943;6,2616;26,3411;
Calamonaci;19084006;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Calamonaci;19084006;2013;Comune;1.363;2;0;72,84;66,87;59,6;22,46;18,63;0;0,25;6,1;0;
Caltabellotta;19084007;2010;Comune;3.974;0,76;0;34,34;482,62;9,7;14,41;16,59;0;1;3,7399999999999998;73,69;
Caltabellotta;19084007;2011;Comune;3.907;0,7824;0;35,3533;496,8604;10,13;14,6888;17,0796;0;1,0295;3,85;75,8643;
Caltabellotta;19084007;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Caltabellotta;19084007;2013;Comune;3.789;3,98;0;36,02;137,51;91,97;63,1;27,89;1,48;0,2;5,47;0;
Camastra;19084008;2010;Comune;2.076;0;1,36;28,61;0;0;0;0;0;0;0;0;
Camastra;19084008;2011;Comune;2.163;0,8;0;28,06;0;0;0;0;0;0;0;0;
Camastra;19084008;2012;Comune;2.161;0;0;51,32;0;0;0;1,82;2,8;0;0;13,28;
Camastra;19084008;2013;Comune;2.092;0;1,4;28,06;0;0;0;0;1;0;0;0;
Cammarata;19084009;2010;Comune;6.453;1,4;36,03;158,375;0;1,89;3,9;20,46;20,02;0,77;0;45,35;
Cammarata;19084009;2011;Comune;6.275;0;0;174,7335;0;0;4,7002;29,4096;20;0;0;30,9967;
Cammarata;19084009;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Cammarata;19084009;2013;Comune;6.330;0;3,74;162,60649690000002;0;0;4,700169141;29,40962977;1,236;0;0;30,99669987;
Campobello di Licata;19084010;2010;Comune;10.328;0;0;72,33999999999999;0;0;0;0;0;0;0;0;
Campobello di Licata;19084010;2011;Comune;10.438;2,7;0;92,51;0;0;0,424;0;4,44;0,06;0;47,7;
Campobello di Licata;19084010;2012;Comune;10.391;0;29,04;154,46;0;0;0;13,780000000000001;16,990000000000002;0,1;0;85,6;
Campobello di Licata;19084010;2013;Comune;10.302;0;13,82;92,51;9,38;0;0,424;1,2;11,030000000000001;0,006;1,2;47,7;
Canicattì;19084011;2010;Comune;35.097;0,66;1,4;566,6;0;0;0;6,12;0;0;0;145,4;
Canicattì;19084011;2011;Comune;34.863;0;0;549,64;0;0;2,56;13,04;11,1;2,83;0;171,77;
Canicattì;19084011;2012;Comune;34.886;0;0;749,6099999999999;0;0;0;22,54;23,63;1,8;0;138,16;
Canicattì;19084011;2013;Comune;35.672;8,54;12,1;549,64;0;0;2,56;13,04;22,14;0,09;0;171,77;
Casteltermini;19084012;2010;Comune;8.487;1,4;75,78;28,619999999999997;0;0;3,5300000000000002;4,33;16,12;0,42999999999999994;0;25,64;
Casteltermini;19084012;2011;Comune;8.422;0;0;106,836;0;0;2,2969;26,4311;18;0;0;58,346;
Casteltermini;19084012;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Casteltermini;19084012;2013;Comune;8.380;0,76;22,42;71,17712305;0;0;2,296856739;26,43107031;0;0;0;58,34601523;
Castrofilippo;19084013;2010;Comune;3.034;0,42;16,58;181,465;0;0;28,44;34,26;3,2199999999999998;0,03;0;202,8;
Castrofilippo;19084013;2011;Comune;3.020;0;0;114,4545;0;0;13,72;19,9925;3;0;0;107;
